Open access,Computational essays,Digital notebooks,Data repositories,License
I am familiar with the term but it would be difficult to explain it,"I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is",I can explain this term in my own words but I do not use it myself,I am familiar with the term but it would be difficult to explain it
I am familiar with the term but it would be difficult to explain it,I have never heard of this term,I have never heard of this term,I have never heard of this term,"I have heard this term before, but I have a vague idea of what it is"
I can explain this term in my own words but I do not use it myself,"I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is",I can easily define what exactly this term means and I use it myself
I can easily define what exactly this term means and I use it myself,"I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is",I can explain this term in my own words but I do not use it myself,I can easily define what exactly this term means and I use it myself
"I have heard this term before, but I have a vague idea of what it is",I can explain this term in my own words but I do not use it myself,I can explain this term in my own words but I do not use it myself,I can explain this term in my own words but I do not use it myself,I am familiar with the term but it would be difficult to explain it
I can explain this term in my own words but I do not use it myself,"I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is",I am familiar with the term but it would be difficult to explain it,I can explain this term in my own words but I do not use it myself
I can explain this term in my own words but I do not use it myself,"I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is",I have never heard of this term,I am familiar with the term but it would be difficult to explain it
I can easily define what exactly this term means and I use it myself,I can easily define what exactly this term means and I use it myself,I can easily define what exactly this term means and I use it myself,I can explain this term in my own words but I do not use it myself,I am familiar with the term but it would be difficult to explain it
I can easily define what exactly this term means and I use it myself,"I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is",I can easily define what exactly this term means and I use it myself,I can explain this term in my own words but I do not use it myself
I am familiar with the term but it would be difficult to explain it,I have never heard of this term,I have never heard of this term,"I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is"
"I have heard this term before, but I have a vague idea of what it is",I have never heard of this term,I have never heard of this term,I have never heard of this term,"I have heard this term before, but I have a vague idea of what it is"
I can explain this term in my own words but I do not use it myself,"I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is",I am familiar with the term but it would be difficult to explain it
I can easily define what exactly this term means and I use it myself,I have never heard of this term,I have never heard of this term,I can easily define what exactly this term means and I use it myself,I can easily define what exactly this term means and I use it myself
I can explain this term in my own words but I do not use it myself,I can explain this term in my own words but I do not use it myself,I can explain this term in my own words but I do not use it myself,I can easily define what exactly this term means and I use it myself,I can explain this term in my own words but I do not use it myself
I can easily define what exactly this term means and I use it myself,I am familiar with the term but it would be difficult to explain it,I am familiar with the term but it would be difficult to explain it,I can explain this term in my own words but I do not use it myself,I can explain this term in my own words but I do not use it myself
I can easily define what exactly this term means and I use it myself,I can explain this term in my own words but I do not use it myself,I can explain this term in my own words but I do not use it myself,I can explain this term in my own words but I do not use it myself,I can explain this term in my own words but I do not use it myself
I am familiar with the term but it would be difficult to explain it,"I have heard this term before, but I have a vague idea of what it is","I have heard this term before, but I have a vague idea of what it is",I am familiar with the term but it would be difficult to explain it,I can explain this term in my own words but I do not use it myself
I can explain this term in my own words but I do not use it myself,I have never heard of this term,I have never heard of this term,I have never heard of this term,I am familiar with the term but it would be difficult to explain it
I can explain this term in my own words but I do not use it myself,I have never heard of this term,I have never heard of this term,I am familiar with the term but it would be difficult to explain it,I can explain this term in my own words but I do not use it myself
I can explain this term in my own words but I do not use it myself,I can easily define what exactly this term means and I use it myself,I can easily define what exactly this term means and I use it myself,I can explain this term in my own words but I do not use it myself,I can explain this term in my own words but I do not use it myself
I can easily define what exactly this term means and I use it myself,I can easily define what exactly this term means and I use it myself,I can easily define what exactly this term means and I use it myself,I can easily define what exactly this term means and I use it myself,I can easily define what exactly this term means and I use it myself
